본문 구절,위치,추출,출처 유형,확인 URL·파일,조치,비고
— AI 로 노면 폭을 직접 재려 하자 대조 8조각 중 7조각이 어긋,서식2 문단 7,8조각,저장소 산출,deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv | deliverables/AI보완_커버리지표.csv,유지,
"z19에서 객체 후보를 뽑았다. 원 마스크 3,838개.",서식2 문단 8,"3,838개",저장소 산출,docs/판정기준.md | data/vworld/national/derived/sam_vehicle_width.json,유지,
둘 다 통과한 차량 후보 71 — 이 차감이 37조각 중 7조각의 판정,서식2 문단 9,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
", 그 값으로 시공간 슬롯을 나눈다 — 대전 26개소 37조각(최종채택",서식2 문단 9,26개소,저장소 산출,deliverables/AI보완_커버리지표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
으로 시공간 슬롯을 나눈다 — 대전 26개소 37조각(최종채택 37 ·,서식2 문단 9,37조각,저장소 산출,deliverables/26개소_산출표.csv | deliverables/ITS영상CCTV_26개소.csv | deliverables/대전_단속CCTV_골목급대조.csv,유지,
란 제약요인 1순위가 불법주차라는 조사가 있다[문헌X],서식2 문단 13,[문헌X],2차 인용,출처 일람 X=2차 인용,유지,
있다(재난현장 표준작전절차 2026.5) — SOP 200 3.1.1.1 선,서식2 문단 15,SOP 200,1차 원문,출처 일람 「기준 문서」 행,유지,
소방차량의 진입 등에 장애가 없는 장소」 · SOP 103 2.2.1 상황실,서식2 문단 15,SOP 103,1차 원문,출처 일람 「기준 문서」 행,유지,
명의 표준 도로망 직접 연계 불가율 — 전국 78.2 %,서식2 문단 17,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,"16개 시도 합산 이름 152,944 · 포함 33,336 재계산 일치 · 078 P1-8 소제목 표현 변경"
◦ 전국 16개 시도 전부에서 골,서식2 문단 18,16개,저장소 산출,deliverables/26개소_산출표.csv | deliverables/AI-A_모델유사골목_상위.csv | deliverables/AI-B_SAM검증_4자대조.csv,유지,
"되지 않는다(형상 부재가 아니다) — 합산 152,944개 이름 중 포함 3",서식2 문단 18,"152,944개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"다) — 합산 152,944개 이름 중 포함 33,336개(21.8 %, 9",서식2 문단 18,"33,336개",저장소 산출,data/vworld/national/derived/national_inclusion.json,유지,
"152,944개 이름 중 포함 33,336개(21.8 %, 95 % CI",서식2 문단 18,21.8 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | data/vworld/national/derived/ngii_bound_cover.json | data/vworld/national/derived/ngii_medial_width.json,유지,
"이름 중 포함 33,336개(21.8 %, 95 % CI 21.6~2",서식2 문단 18,95 %,저장소 산출,deliverables/대전_단속CCTV_골목급대조.csv | deliverables/이름포함률_대전.csv | deliverables/전국대조군_길번길포함률.csv,유지,
", 95 % CI 21.6~22.0) → 밖 78.2 %. 단위는 (시군구",서식2 문단 18,78.2 %,저장소 산출,deliverables/전국대조군_길번길포함률.csv,유지,재계산 일치
